name,stock,price,cat,code,colorType,compatible,qtePage,ref,trademark
ML-D3470B,0,,Toner Cartridge,3470B,Noir,ML-2850D/2860ND,10000,ML-D3470B,SAMSUNG
ML-D3560A,0,,Toner Cartridge,3560A,Noir,ML-3470D/3470ND/3471ND,6000,ML-D3560A,SAMSUNG
ML-D3560B,0,,Toner Cartridge,3560B,Noir,ML-3470D/3470ND/3471ND,12000,ML-D3560B,SAMSUNG
SCX-D4725A,0,,Toner Cartridge,4725A,Noir,SCX-4725,3000,SCX-D4725A,SAMSUNG
SF-D560RA,0,,Toner Cartridge,560RA,Noir,SF-560R/560RC/565PR/565PRC,3000,SF-D560RA,SAMSUNG
MLT-D112S,0,,Toner Cartridge,112S,Noir,XPressSL-M2023/M2029,1000,MLT-D112S,SAMSUNG
MLT-D118S,0,,Toner Cartridge,118S,Noir,XPress M3015/M3065,1200,MLT-D118S,SAMSUNG
MLT-D118L,0,,Toner Cartridge,118L,Noir,XPress M3015/M3065,4000,MLT-D118L,SAMSUNG
MLT-201S,0,,Toner Cartridge,201S,Noir,ProXpress M4030/M4080FX,10000,MLT-201S,SAMSUNG
MLT-D201L,0,,Toner Cartridge,201L,Noir,ProXpress M4030/M4080FX,20000,MLT-D201L,SAMSUNG
MLT-D111L,0,,Toner Cartridge,111L,Noir,SL-M2020/M2070,1800,MLT-D111L,SAMSUNG
MLT-D707S,0,,Toner Cartridge,707S,Noir,SL-K2200ND/K2200,6000,MLT-D707S,SAMSUNG
MLT-D707L,0,,Toner Cartridge,707L,Noir,SL-K2200ND/K2200,10000,MLT-D707L,SAMSUNG
MLT-D303E,0,,Toner Cartridge,303E,Noir,M4580 SL-M4580FX,40000,MLT-D303E,SAMSUNG
MLT-R204,0,,Toner Cartridge,204,Noir,ProXpress SL-M3325/3825/4025 M3375/3875/4075,30000,MLT-R204,SAMSUNG
MLT-R303,0,,Toner Cartridge,303,Noir,M4580 SL-M4580FX,100000,MLT-R303,SAMSUNG
MLT-D709S,0,,Toner Cartridge,709S,Noir,SCX-8123NA/8123ND/8128NA/8128ND,25000,MLT-D709S,SAMSUNG
MLT-D704S,0,,Toner Cartridge,704S,Noir,Multixpress SL-K3250NR SL-K3300NR,25000,MLT-D704S,SAMSUNG
MLT-D208L,0,,Toner Cartridge,208L,Noir,SCX-5635FN/5635HN/5835FN/5835HN,10000,MLT-D208L,SAMSUNG
MLT-2550DA,0,,Toner Cartridge,2550DA,Noir,ML-2550/2551N,8000,MLT-2550DA,SAMSUNG
MLT-D208S,0,,Toner Cartridge,208S,Noir,SCX-5635FN/5635HN/5835FN/5835HN,4000,MLT-D208S,SAMSUNG
ML-R204,0,,Toner Cartridge,204,Noir,"ProXpress SL-M3325/3825/4025, M3375/3875/4075",30000,ML-R204,SAMSUNG
CLP-K300A,0,,Toner,300A,Noir,CLP-300/300N  CLX-2160/2160N/ 3160FN/3160N,2000,CLP-K300A,SAMSUNG
CLP-Y300A,0,,Toner,300A,Cyan,CLP-300/300N  CLX-2160/2160N/ 3160FN/3160N,1000,CLP-Y300A,SAMSUNG
CLP-C300A,0,,Toner,300A,Jaune,CLP-300/300N  CLX-2160/2160N/ 3160FN/3160N,1000,CLP-C300A,SAMSUNG
CLP-M300A,0,,Toner,300A,Magenta,CLP-300/300N  CLX-2160/2160N/ 3160FN/3160N,1000,CLP-M300A,SAMSUNG
CLP-K350A,0,,Toner,350A,Noir,CLP-350N/350NK/350NKG,4000,CLP-K350A,SAMSUNG
CLP-Y350A,0,,Toner,350A,Cyan,CLP-350N/350NK/350NKG,2000,CLP-Y350A,SAMSUNG
CLP-C350A,0,,Toner,350A,Jaune,CLP-350N/350NK/350NKG,2000,CLP-C350A,SAMSUNG
CLP-M350A,0,,Toner,350A,Magenta,CLP-350N/350NK/350NKG,2000,CLP-M350A,SAMSUNG
CLT-K407S/CLT-K4072S,0,,Toner,407S/4072S,Noir,CLP-320/321/325/326/3185/3186,2000,CLT-K407S/                        CLT-K4072S,SAMSUNG
CLT-C407S/CLT-C4072S,0,,Toner,407S/4072S,Cyan,CLP-320/321/325/326/3185/3186,1000,CLT-C407S/                          CLT-C4072S,SAMSUNG
CLT-Y407S/CLT-Y4072S,0,,Toner,407S/4072S,Jaune,CLP-320/321/325/326/3185/3186,1000,CLT-Y407S/                                      CLT-Y4072S,SAMSUNG
CLT-M407S/CLT-M4072S,0,,Toner,407S/4072S,Magenta,CLP-320/321/325/326/3185/3186,1000,CLT-M407S/                             CLT-M4072S,SAMSUNG
CLT-R407/409,0,,DRUM,407/409,,CLP-320/321/325/326/3185/3186/310/ 315/3170/3175,24000,CLT-R407/409,SAMSUNG
CLT-K409S/CLT-K4092S,0,,Toner,409S/ 4092S,Noir,CLP-310N/315   CLX-3170/3175/3175FN/3175N,2000,CLT-K409S/                            CLT-K4092S,SAMSUNG
CLT-C409S/CLT-C4092S,0,,Toner,409S/C4092S,Cyan,CLP-310N/315   CLX-3170/3175/3175FN/3175N,1000,CLT-C409S/                                  CLT-C4092S,SAMSUNG
CLT-Y409S/CLT-Y4092S,0,,Toner,409S/4092S,Jaune,CLP-310N/315   CLX-3170/3175/3175FN/3175N,1000,CLT-Y409S/                            CLT-Y4092S,SAMSUNG
CLT-M409S/CLT-M4092S,0,,Toner,409S/ 4092S,Magenta,CLP-310N/315   CLX-3170/3175/3175FN/3175N,1000,CLT-M409S/                           CLT-M4092S,SAMSUNG
CLP-500D7K,0,,Toner,00D7K,Noir,CLP-500/CLP-500N/CLP-550/CLP-550N,7000,CLP-500D7K,SAMSUNG
CLP-500D5C,0,,Toner,00D5C,Cyan,CLP-500/CLP-500N/CLP-550/CLP-550N,5000,CLP-500D5C,SAMSUNG
CLP-500D5Y,0,,Toner,00D5Y,Jaune,CLP-500/CLP-500N/CLP-550/CLP-550N,5000,CLP-500D5Y,SAMSUNG
CLP-500D5M,0,,Toner,500D5M,Magenta,CLP-500/CLP-500N/CLP-550/CLP-550N,5000,CLP-500D5M,SAMSUNG
CLP-510D7K,0,,Toner,510D7K,Noir,CLP-510/510N/560,7000,CLP-510D7K,SAMSUNG
CLP-510D5C,0,,Toner,510D5C,Cyan,CLP-510/510N/560,5000,CLP-510D5C,SAMSUNG
CLP-510D5Y,0,,Toner,510D5Y,Jaune,CLP-510/510N/560,5000,CLP-510D5Y,SAMSUNG
CLP-510D5M,0,,Toner,510D5M,Magenta,CLP-510/510N/560,5000,CLP-510D5M,SAMSUNG
CLP-510D3K,0,,Toner,510D3K,Noir,CLP-510/510N/560,3000,CLP-510D3K,SAMSUNG
CLP-510D2C,0,,Toner,510D2C,Cyan,CLP-510/510N/560,2000,CLP-510D2C,SAMSUNG
CLP-510D2Y,0,,Toner,510D2Y,Jaune,CLP-510/510N/560,2000,CLP-510D2Y,SAMSUNG
CLP-510D2M,0,,Toner,510D2M,Magenta,CLP-510/510N/560,2000,CLP-510D2M,SAMSUNG
CLT-K508S,0,,Toner Cartridge,508S,Noir,CLP-620/CLP-620ND/CLP-670ND/CLX-6220FX/CLX6250FX,2500,CLT-K508S,SAMSUNG
CLT-C508S,0,,Toner Cartridge,508S,Cyan,CLP-620/CLP-620ND/CLP-670ND/CLX-6220FX/CLX6250FX,2000,CLT-C508S,SAMSUNG
CLT-Y508S,0,,Toner Cartridge,508S,Jaune,CLP-620/CLP-620ND/CLP-670ND/CLX-6220FX/CLX6250FX,2000,CLT-Y508S,SAMSUNG
CLT-M508S,0,,Toner Cartridge,508S,Magenta,CLP-620/CLP-620ND/CLP-670ND/CLX-6220FX/CLX6250FX,2000,CLT-M508S,SAMSUNG
CLT-K508L,0,,Toner Cartridge,508L,Noir,CLP-620/CLP-620ND/CLP-670ND/CLX-6220FX/CLX6250FX,5000,CLT-K508L,SAMSUNG
CLT-C508L,0,,Toner Cartridge,508L,Cyan,CLP-620/CLP-620ND/CLP-670ND/CLX-6220FX/CLX6250FX,4000,CLT-C508L,SAMSUNG
CLT-Y508L,0,,Toner Cartridge,508L,Jaune,CLP-620/CLP-620ND/CLP-670ND/CLX-6220FX/CLX6250FX,4000,CLT-Y508L,SAMSUNG
CLT-M508L,0,,Toner Cartridge,508L,Magenta,CLP-620/CLP-620ND/CLP-670ND/CLX-6220FX/CLX6250FX,4000,CLT-M508L,SAMSUNG
CLP-K600A,0,,Toner Cartridge,600A,Noir,CLP-600/600N,4000,CLP-K600A,SAMSUNG
CLP-C600A,0,,Toner Cartridge,600A,Cyan,CLP-600/600N,4000,CLP-C600A,SAMSUNG
CLP-Y600A,0,,Toner Cartridge,600A,Jaune,CLP-600/600N,4000,CLP-Y600A,SAMSUNG
CLP-M600A,0,,Toner Cartridge,600A,Magenta,CLP-600/600N,4000,CLP-M600A,SAMSUNG
CLT-K609S,0,,Toner Cartridge,609S,Noir,CLP-770/770ND /775,7000,CLT-K609S,SAMSUNG
CLT-C609S,0,,Toner Cartridge,609S,Cyan,CLP-770/770ND /775,7000,CLT-C609S,SAMSUNG
CLT-Y609S,0,,Toner Cartridge,609S,Jaune,CLP-770/770ND /775,7000,CLT-Y609S,SAMSUNG
CLT-M609S,0,,Toner Cartridge,609S,Magenta,CLP-770/770ND /775,7000,CLT-M609S,SAMSUNG
CLP-K660A,0,,Toner Cartridge,660A,Noir,CLP-660/CLP-661/CLX-6200ND/6210FX/6240FX,2500,CLP-K660A,SAMSUNG
CLP-C660A,0,,Toner Cartridge,660A,Cyan,CLP-660/CLP-661/CLX-6200ND/6210FX/6240FX,2000,CLP-C660A,SAMSUNG
CLP-Y660A,0,,Toner Cartridge,660A,Jaune,CLP-660/CLP-661/CLX-6200ND/6210FX/6240FX,2000,CLP-Y660A,SAMSUNG
CLP-M660A,0,,Toner Cartridge,660A,Magenta,CLP-660/CLP-661/CLX-6200ND/6210FX/6240FX,2000,CLP-M660A,SAMSUNG
CLP-K660B,0,,Toner Cartridge,660B,Noir,CLP-660/CLP-661/CLX-6200ND/6210FX/6240FX,5500,CLP-K660B,SAMSUNG
CLP-C660B,0,,Toner Cartridge,660B,Cyan,CLP-660/CLP-661/CLX-6200ND/6210FX/6240FX,5000,CLP-C660B,SAMSUNG
CLP-Y660B,0,,Toner Cartridge,660B,Jaune,CLP-660/CLP-661/CLX-6200ND/6210FX/6240FX,5000,CLP-Y660B,SAMSUNG
CLP-M660B,0,,Toner Cartridge,660B,Magenta,CLP-660/CLP-661/CLX-6200ND/6210FX/6240FX,5000,CLP-M660B,SAMSUNG
CLT-K506S,0,,Toner Cartridge,506S,Noir,CLP-680/CLX-6260,3000,CLT-K506S,SAMSUNG
CLT-C506S,0,,Toner Cartridge,506S,Cyan,CLP-680/CLX-6260,1500,CLT-C506S,SAMSUNG
CLT-Y506S,0,,Toner Cartridge,506S,Jaune,CLP-680/CLX-6260,1500,CLT-Y506S,SAMSUNG
CLT-M506S,0,,Toner Cartridge,506S,Magenta,CLP-680/CLX-6260,1500,CLT-M506S,SAMSUNG
CLT-K506L,0,,Toner Cartridge,506L,Noir,CLP-680/CLX-6260,6000,CLT-K506L,SAMSUNG
CLT-C506L,0,,Toner Cartridge,506L,Cyan,CLP-680/CLX-6260,3500,CLT-C506L,SAMSUNG
CLT-Y506L,0,,Toner Cartridge,506L,Jaune,CLP-680/CLX-6260,3500,CLT-Y506L,SAMSUNG
CLT-M506L,0,,Toner Cartridge,506L,Magenta,CLP-680/CLX-6260,3500,CLT-M506L,SAMSUNG
CLT-K504S,0,,Toner Cartridge,504S,Noir,CLP-415N/470/475  CLX 4195,2500,CLT-K504S,SAMSUNG
CLT-C504S,0,,Toner Cartridge,504S,Cyan,CLP-415N/470/475  CLX 4195,1800,CLT-C504S,SAMSUNG
CLT-Y504S,0,,Toner Cartridge,504S,Jaune,CLP-415N/470/475  CLX 4195,1800,CLT-Y504S,SAMSUNG
CLT-M504S,0,,Toner Cartridge,504S,Magenta,CLP-415N/470/475  CLX 4195,1800,CLT-M504S,SAMSUNG
CLT-K406S,0,,Toner,406S,Noir,"CLP-360/365/366/368, CLX-3300/3305/3306/3186/3185",1500,CLT-K406S,SAMSUNG
CLT-C406S,0,,Toner,406S,Cyan,"CLP-360/365/366/368, CLX-3300/3305/3306/3186/3185",1000,CLT-C406S,SAMSUNG
CLT-Y406S,0,,Toner,406S,Jaune,"CLP-360/365/366/368, CLX-3300/3305/3306/3186/3185",1000,CLT-Y406S,SAMSUNG
CLT-M406S,0,,Toner,406S,Magenta,"CLP-360/365/366/368, CLX-3300/3305/3306/3186/3185",1000,CLT-M406S,SAMSUNG
CLT-K404S,0,,Toner,404S,Noir,ProXpress SL-C430/C432/C433/C480/C482/C483,1500,CLT-K404S,SAMSUNG
CLT-C404S,0,,Toner,404S,Cyan,ProXpress SL-C430/C432/C433/C480/C482/C483,1000,CLT-C404S,SAMSUNG
CLT-Y404S,0,,Toner,404S,Jaune,ProXpress SL-C430/C432/C433/C480/C482/C483,1000,CLT-Y404S,SAMSUNG
CLT-M404S,0,,Toner,404S,Magenta,ProXpress SL-C430/C432/C433/C480/C482/C483,1000,CLT-M404S,SAMSUNG
CLT-K403S,0,,Toner,403S,Noir,ProXpress SL-C435/C436/C485/C486,1500,CLT-K403S,SAMSUNG
CLT-C403S,0,,Toner,403S,Cyan,ProXpress SL-C435/C436/C485/C486,1000,CLT-C403S,SAMSUNG
CLT-Y403S,0,,Toner,403S,Jaune,ProXpress SL-C435/C436/C485/C486,1000,CLT-Y403S,SAMSUNG
CLT-M403S,0,,Toner,403S,Magenta,ProXpress SL-C435/C436/C485/C486,1000,CLT-M403S,SAMSUNG
CLT-K404H,0,,Toner,404H,Noir,ProXpress SL-C430/C432/C433/C480/C482/C483,1650,CLT-K404H,SAMSUNG
CLT-C404H,0,,Toner,404H,Cyan,ProXpress SL-C430/C432/C433/C480/C482/C483,1100,CLT-C404H,SAMSUNG
CLT-Y404H,0,,Toner,404H,Jaune,ProXpress SL-C430/C432/C433/C480/C482/C483,1100,CLT-Y404H,SAMSUNG
CLT-M404H,0,,Toner,404H,Magenta,ProXpress SL-C430/C432/C433/C480/C482/C483,1100,CLT-M404H,SAMSUNG
CLT-K503S,0,,Toner,503S,Noir,ProXpress SL-C3060ND/C3060FR/C3010ND,8000,CLT-K503S,SAMSUNG
CLT-C503S,0,,Toner,503S,Cyan,ProXpress SL-C3060ND/C3060FR/C3010ND,5000,CLT-C503S,SAMSUNG
CLT-Y503S,0,,Toner,503S,Jaune,ProXpress SL-C3060ND/C3060FR/C3010ND,5000,CLT-Y503S,SAMSUNG
